type,client,tx,amount
deposit,1,1000,0.0000
withdrawal,2,1001,1.2345
dispute,3,1002,
resolve,4,1003,
chargeback,5,1004,
deposit,6,1005,6.1725
withdrawal,7,1006,7.4070
dispute,8,1007,
resolve,9,1008,
chargeback,10,1009,
deposit,1,1010,12.3450
withdrawal,2,1011,13.5795
dispute,3,1012,
resolve,4,1013,
chargeback,5,1014,
deposit,6,1015,18.5175
withdrawal,7,1016,19.7520
dispute,8,1017,
resolve,9,1018,
chargeback,10,1019,
deposit,1,1020,24.6900
withdrawal,2,1021,25.9245
dispute,3,1022,
resolve,4,1023,
chargeback,5,1024,
deposit,6,1025,30.8625
withdrawal,7,1026,32.0970
dispute,8,1027,
resolve,9,1028,
chargeback,10,1029,
deposit,1,1030,37.0350
withdrawal,2,1031,38.2695
dispute,3,1032,
resolve,4,1033,
chargeback,5,1034,
deposit,6,1035,43.2075
withdrawal,7,1036,44.4420
dispute,8,1037,
resolve,9,1038,
chargeback,10,1039,
deposit,1,1040,49.3800
withdrawal,2,1041,50.6145
dispute,3,1042,
resolve,4,1043,
chargeback,5,1044,
deposit,6,1045,55.5525
withdrawal,7,1046,56.7870
dispute,8,1047,
resolve,9,1048,
chargeback,10,1049,
deposit,1,1050,61.7250
withdrawal,2,1051,62.9595
dispute,3,1052,
resolve,4,1053,
chargeback,5,1054,
deposit,6,1055,67.8975
withdrawal,7,1056,69.1320
dispute,8,1057,
resolve,9,1058,
chargeback,10,1059,
deposit,1,1060,74.0700
withdrawal,2,1061,75.3045
dispute,3,1062,
resolve,4,1063,
chargeback,5,1064,
deposit,6,1065,80.2425
withdrawal,7,1066,81.4770
dispute,8,1067,
resolve,9,1068,
chargeback,10,1069,
deposit,1,1070,86.4150
withdrawal,2,1071,87.6495
dispute,3,1072,
resolve,4,1073,
chargeback,5,1074,
deposit,6,1075,92.5875
withdrawal,7,1076,93.8220
dispute,8,1077,
resolve,9,1078,
chargeback,10,1079,
deposit,1,1080,98.7600
withdrawal,2,1081,99.9945
dispute,3,1082,
resolve,4,1083,
chargeback,5,1084,
deposit,6,1085,104.9325
withdrawal,7,1086,106.1670
dispute,8,1087,
resolve,9,1088,
chargeback,10,1089,
deposit,1,1090,111.1050
withdrawal,2,1091,112.3395
dispute,3,1092,
resolve,4,1093,
chargeback,5,1094,
deposit,6,1095,117.2775
withdrawal,7,1096,118.5120
dispute,8,1097,
resolve,9,1098,
chargeback,10,1099,
